Cancion;Nombre Album;Artista;Fecha de lanzamiento;Codigo de grabacion;Ranking historico;Spotify Streams;Spotify Playlist Count;Busquedas en Spotify;Spotify Popularity;YouTube Views;YouTube Likes;TikTok Posts;TikTok Likes;TikTok Views;YouTube Playlist Reach;Apple Music Playlist Count;Amazon Playlist Count;Soundcloud Streams;;;;;
MILLION DOLLAR BABY;Million Dollar Baby - Single;Tommy Richman;4/26/2024;QM24S2402528;1;390,470,936;30,716;196,631,588;92;84,274,754;1,713,126;5,767,700;651,565,900;5,332,281,936;150,597,040;210;114;4,818,457;;;;;
Not Like Us;Not Like Us;Kendrick Lamar;5/4/24;USUG12400910;2;323,703,884;28,113;174,597,137;92;116,347,040;3,486,739;674,7;35,223,547;208,339,025;156,380,351;188;111;6,623,075;;;;;
i like the way you kiss me;I like the way you kiss me;Artemas;3/19/2024;QZJ842400387;3;601,309,283;54,331;211,607,669;92;122,599,116;2,228,730;3,025,400;275,154,237;3,369,120,610;373,784,955;190;172;7,208,651;;;;;
Flowers;Flowers - Single;Miley Cyrus;1/12/23;USSM12209777;4;2,031,280,633;269,802;136,569,078;85;1,096,100,899;10,629,796;7,189,811;1,078,757,968;14,603,725,994;3,351,188,582;394;210;;;;;;
Houdini;Houdini;Eminem;5/31/2024;USUG12403398;5;107,034,922;7,223;151,469,874;88;77,373,957;3,670,188;16,4;;;112,763,851;182;105;207,179;;;;;
Lovin On Me;Lovin On Me;Jack Harlow;11/10/23;USAT22311371;6;670,665,438;105,892;175,421,034;83;131,148,091;1,392,593;4,202,367;214,943,489;2,938,686,633;2,867,222,632;138;152;9,438,601;;;;;
Beautiful Things;Beautiful Things;Benson Boone;1/18/2024;USWB12307016;7;900,158,751;73,118;201,585,714;86;308,723,145;4,120,760;;29,584,940;534,915,313;4,601,579,812;280;154;;;;;;
Gata Only;Gata Only;FloyyMenor;2/2/24;QZL382406049;8;675,079,153;40,094;211,236,940;92;228,382,568;1,439,495;3,500,000;338,546,668;3,804,584,163;2,112,581,620;160;53;;;;;;
Danza Kuduro - Cover;ýýýýýýýýýýýýýýýýýýýýý - ýýýýýýýýýýýýýýýýýý -;MUSIC LAB JPN;6/9/24;TCJPA2463708;9;1,653,018,119;1;15;;;;;;;;;;;;;;;
BAND4BAND (feat. Lil Baby);BAND4BAND (feat. Lil Baby);Central Cee;5/23/2024;USSM12404354;10;90,676,573;10,4;184,199,419;86;32,735,244;988,682;325,8;121,574,500;974,656,200;174,706,874;191;92;3,679,709;;;;;
I Had Some Help (feat. Morgan Wallen);I Had Some Help;Post Malone;5/10/24;USUM72404990;11;250,080,413;16,219;168,766,158;91;32,229,063;550,191;;184,5;2,100,000;327,130,768;157;114;1,594,605;;;;;
The Door;The Door;Teddy Swims;6/14/2024;USWB12402486;12;111,155,129;2;263,767;;;;;;;;;2;;;;;;
LUNCH;HIT ME HARD AND SOFT;Billie Eilish;5/17/2024;USUM72401991;13;221,636,195;13,8;197,280,692;92;40,022,524;1,307,290;195,3;45,889,000;360,017,000;342,107,131;244;163;1,313,357;;;;;
Like That;WE DON'T TRUST YOU;Future;3/22/2024;USSM12402041;14;355,186,436;43,025;108,168,634;88;98,081,493;1,456,177;;;;174,491,415;153;109;12,038,034;;;;;
bathroom floor;bathroom floor;Kids With Buns;10/7/22;NLC242100307;15;297,185;277;24,445;12;6,736,502,312;16,785,489;3;1,088;22,234;;1;;;;;;;
LALA;LALA - Single;Myke Towers;3/22/2023;USWL12300002;16;925,655,569;103,605;79,944,921;79;934,302,031;4,294,166;11,054,500;521,725,116;7,499,234,052;2,042,145,659;94;83;871,978;;;;;
Fortnight (feat. Post Malone);THE TORTURED POETS DEPARTMENT;Taylor Swift;4/18/2024;USUG12401028;17;395,433,400;12,784;177,932,568;89;104,673,836;2,484,083;139,3;25,348,800;207,317,000;268,893,710;221;134;377,734;;;;;
greedy;greedy;Tate McRae;9/14/2023;USRC12301932;18;1,258,569,694;105,218;198,845,580;87;141,646,818;1,514,837;2,294,429;419,319,161;5,456,156,211;2,667,285,437;207;150;;;;;;
