,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
3,"Lismar: Bzrp Music Sessions, Vol. 60",1,3lXq1YajbXv1UI1MoXW8JB,"Lismar: Bzrp Music Sessions, Vol. 60",spotify:track:3lXq1YajbXv1UI1MoXW8JB,0.31,0.784,0.72,0.0,0.298,-6.122,0.0452,135.015,0.543,51
12,"Natanael Cano: Bzrp Music Sessions, Vol. 59",1,2DbV9TSdeGr5FobCFDRzvq,"Natanael Cano: Bzrp Music Sessions, Vol. 59",spotify:track:2DbV9TSdeGr5FobCFDRzvq,0.0595,0.671,0.8,0.0,0.103,-5.576,0.0695,166.9,0.761,76
15,"Bzrp Music Sessions, Vol. 53 (Tiësto Remix)",1,0G6Rs6S3mU0E890Z32iBqj,"Bzrp Music Sessions, Vol. 53 - Tiësto Remix",spotify:track:0G6Rs6S3mU0E890Z32iBqj,0.0154,0.834,0.845,0.637,0.107,-6.703,0.0636,126.031,0.451,37
16,"Young Miko: Bzrp Music Sessions, Vol. 58",1,6VciS3dRMpZhJiDxT8ArFi,"Young Miko: Bzrp Music Sessions, Vol. 58",spotify:track:6VciS3dRMpZhJiDxT8ArFi,0.494,0.566,0.614,0.0,0.116,-6.946,0.144,96.123,0.439,77
22,"Milo J: Bzrp Music Sessions, Vol. 57",1,1iLbUmb2b2btyAAcQ68a1p,"Milo J: Bzrp Music Sessions, Vol. 57",spotify:track:1iLbUmb2b2btyAAcQ68a1p,0.558,0.826,0.684,6.93e-05,0.169,-6.413,0.223,123.987,0.738,73
25,"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",1,2NFadq6pUeiVEihLvUlOSr,"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",spotify:track:2NFadq6pUeiVEihLvUlOSr,0.3,0.774,0.572,0.00326,0.315,-6.0,0.0506,128.01,0.489,68
26,"Peso Pluma: Bzrp Music Sessions, Vol. 55",1,5AqiaZwhmC6dIbgWrD5SzV,"Peso Pluma: Bzrp Music Sessions, Vol. 55",spotify:track:5AqiaZwhmC6dIbgWrD5SzV,0.146,0.785,0.726,0.0,0.0952,-6.422,0.0372,133.118,0.622,73
27,"Arcángel: Bzrp Music Sessions, Vol. 54",1,7cQ0LAxT5HHCLGbxcjaxac,"Arcángel: Bzrp Music Sessions, Vol. 54",spotify:track:7cQ0LAxT5HHCLGbxcjaxac,0.0923,0.717,0.708,0.0,0.167,-5.686,0.3,123.898,0.514,65
28,"Shakira: Bzrp Music Sessions, Vol. 53",1,4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53",spotify:track:4nrPB8O7Y7wsOCJdgXkthe,0.281,0.842,0.745,2.61e-05,0.118,-4.231,0.0399,122.06,0.53,78
30,"Duki: Bzrp Music Sessions, Vol. 50",1,7MkylDYvKTSuWgrsBhHlsG,"Duki: Bzrp Music Sessions, Vol. 50",spotify:track:7MkylDYvKTSuWgrsBhHlsG,0.44,0.471,0.746,0.0,0.129,-7.02,0.089,139.774,0.262,66
32,"Quevedo: Bzrp Music Sessions, Vol. 52",1,2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52",spotify:track:2tTmW7RDtMQtBk7m2rYeSw,0.0125,0.621,0.782,0.033,0.23,-5.548,0.044,128.033,0.55,82
33,"Villano Antillano: Bzrp Music Sessions, Vol. 51",1,4hceSKjrkDTO0nMKFcb3sj,"Villano Antillano: Bzrp Music Sessions, Vol. 51",spotify:track:4hceSKjrkDTO0nMKFcb3sj,0.0584,0.82,0.752,0.00417,0.628,-7.635,0.0648,127.999,0.423,69
35,"Paulo Londra: Bzrp Music Sessions, Vol. 23",1,4F4bzCA8RWoyKQDfeFGolM,"Paulo Londra: Bzrp Music Sessions, Vol. 23",spotify:track:4F4bzCA8RWoyKQDfeFGolM,0.25,0.527,0.91,0.0,0.0857,-2.659,0.122,95.943,0.329,64
36,"Residente: Bzrp Music Sessions, Vol. 49",1,2dG9k8jtnkjzJjUToz9i9i,"Residente: Bzrp Music Sessions, Vol. 49",spotify:track:2dG9k8jtnkjzJjUToz9i9i,0.555,0.586,0.74,0.0,0.11,-2.997,0.404,71.378,0.697,61
39,"Tiago PZK: Bzrp Music Sessions, Vol. 48",1,6VAS7m73rDopQe7BdrFMpD,"Tiago PZK: Bzrp Music Sessions, Vol. 48",spotify:track:6VAS7m73rDopQe7BdrFMpD,0.459,0.657,0.821,0.0,0.103,-3.06,0.32,96.561,0.752,71
40,"Morad: Bzrp Music Sessions, Vol. 47",1,39yyHtQ4tkjZzd8TfIBKQw,"Morad: Bzrp Music Sessions, Vol. 47",spotify:track:39yyHtQ4tkjZzd8TfIBKQw,0.468,0.77,0.859,0.00339,0.103,-4.526,0.0429,122.042,0.548,64
42,"Anuel AA: Bzrp Music Sessions, Vol. 46",1,1mrGEef8GuaEnDdw8J5BQp,"Anuel AA: Bzrp Music Sessions, Vol. 46",spotify:track:1mrGEef8GuaEnDdw8J5BQp,0.347,0.405,0.837,0.0,0.0901,-4.188,0.294,74.966,0.655,59
44,"Ptazeta: Bzrp Music Sessions, Vol. 45",1,4axxCbc4tWlpqHP5UbJMc3,"Ptazeta: Bzrp Music Sessions, Vol. 45",spotify:track:4axxCbc4tWlpqHP5UbJMc3,0.0424,0.829,0.81,0.0,0.0748,-4.801,0.144,114.044,0.707,62
45,"MHD: Bzrp Music Sessions, Vol. 44",1,4JC18crxRPZOuTqBfXKFIR,"MHD: Bzrp Music Sessions, Vol. 44",spotify:track:4JC18crxRPZOuTqBfXKFIR,0.283,0.874,0.899,0.0,0.235,-3.046,0.248,123.99,0.831,46
46,"Chucky73: Bzrp Music Sessions, Vol. 43",1,4xTd8fz0mZFK5b9IYdGKNd,"Chucky73: Bzrp Music Sessions, Vol. 43",spotify:track:4xTd8fz0mZFK5b9IYdGKNd,0.538,0.815,0.832,1.01e-06,0.0686,-3.622,0.104,110.01,0.912,54
48,"Nicky Jam: Bzrp Music Sessions, Vol. 41",1,03LfOYi0icz4souspZVVhq,"Nicky Jam: Bzrp Music Sessions, Vol. 41",spotify:track:03LfOYi0icz4souspZVVhq,0.0913,0.627,0.849,0.0,0.145,-3.167,0.153,89.907,0.818,61
